repository;pullRequest;refactoring
https://github.com/apache/tomcat.git;460;Add Method Annotation
https://github.com/apache/tomcat.git;460;Add Method Annotation
https://github.com/apache/tomcat.git;460;Add Method Annotation
https://github.com/apache/tomcat.git;460;Add Method Annotation
https://github.com/apache/tomcat.git;460;Add Method Annotation
https://github.com/apache/tomcat.git;460;Add Method Annotation
https://github.com/apache/tomcat.git;460;Inline Method
https://github.com/apache/tomcat.git;460;Add Method Annotation
https://github.com/apache/tomcat.git;460;Add Method Annotation
https://github.com/apache/tomcat.git;460;Rename Method
https://github.com/apache/tomcat.git;460;Rename Method
https://github.com/apache/tomcat.git;460;Rename Method
https://github.com/apache/tomcat.git;460;Rename Method
https://github.com/apache/tomcat.git;460;Rename Method
https://github.com/apache/tomcat.git;460;Rename Method
https://github.com/apache/tomcat.git;460;Rename Method
https://github.com/apache/tomcat.git;460;Rename Method
https://github.com/apache/tomcat.git;460;Rename Method
https://github.com/apache/tomcat.git;460;Rename Method
https://github.com/apache/tomcat.git;460;Rename Method
https://github.com/apache/tomcat.git;460;Rename Method
https://github.com/apache/tomcat.git;460;Inline Method
https://github.com/apache/tomcat.git;460;Rename Parameter
https://github.com/apache/tomcat.git;460;Rename Method

